id,Introvert_score,bin__Stage_fear,bin__Drained_after_socializing,num__Time_spent_Alone,num__Social_event_attendance,Personality
261,0,0,0,3,6,Extrovert
264,1,0,0,2,9,Extrovert
265,4,1,1,10,0,Introvert
266,0,0,0,2,8,Extrovert
267,3,1,1,8,3,Introvert
268,4,1,1,9,5,Introvert
269,0,0,0,1,9,Extrovert
270,0,0,0,0,7,Extrovert
271,3,0,1,4,0,Introvert
272,0,0,0,4,5,Introvert
273,1,0,0,1,5,Extrovert
274,1,0,0,3,5,Extrovert
275,1,0,0,3,6,Extrovert
276,5,1,0,6,0,Introvert
277,3,1,1,4,0,Introvert
278,0,0,0,3,8,Extrovert
279,4,1,1,8,4,Introvert
280,0,0,0,3,9,Extrovert
281,0,0,0,2,6,Extrovert
282,0,0,0,2,6,Extrovert
283,4,0,1,8,3,Introvert
285,0,0,0,2,9,Introvert
286,0,0,0,1,7,Extrovert
287,0,0,0,3,6,Extrovert
288,4,1,0,10,3,Introvert
289,3,1,1,5,5,Introvert
290,1,0,0,1,5,Extrovert
291,1,0,0,0,5,Extrovert
292,0,0,0,0,6,Extrovert
293,4,1,0,10,3,Introvert
294,4,0,1,10,3,Introvert
295,3,1,1,10,1,Introvert
296,0,0,0,3,5,Extrovert
297,0,0,0,1,3,Extrovert
298,0,0,0,4,8,Extrovert
299,0,0,0,2,9,Extrovert
300,0,0,0,2,4,Extrovert
301,0,0,0,3,7,Extrovert
303,0,0,0,2,8,Extrovert
304,5,1,1,5,2,Introvert
305,0,0,0,1,4,Extrovert
306,0,0,0,0,5,Extrovert
308,0,0,0,1,5,Extrovert
309,5,1,1,11,2,Introvert
310,0,0,0,1,5,Extrovert
311,0,0,0,0,4,Extrovert
312,5,1,0,9,1,Introvert
313,4,1,1,6,0,Introvert
314,0,0,0,3,10,Extrovert
315,0,0,0,2,6,Extrovert
316,0,0,0,2,6,Extrovert
317,4,1,1,6,0,Introvert
318,0,0,0,0,5,Extrovert
319,4,1,1,7,1,Introvert
320,4,1,1,2,2,Introvert
322,3,0,1,10,3,Introvert
323,4,1,1,7,1,Introvert
324,1,0,0,0,6,Extrovert
325,0,0,0,2,9,Extrovert
326,1,0,0,3,3,Extrovert
327,0,0,0,0,4,Extrovert
328,1,0,0,2,5,Extrovert
329,0,0,0,2,5,Extrovert
330,4,1,1,11,2,Introvert
331,0,0,0,2,7,Extrovert
332,0,0,0,2,4,Extrovert
333,0,0,0,0,6,Extrovert
334,1,0,0,3,5,Extrovert
335,0,0,0,3,9,Extrovert
336,0,0,0,2,5,Extrovert
337,0,0,0,0,9,Extrovert
338,0,0,0,2,9,Introvert
339,1,0,0,1,5,Extrovert
340,0,0,0,0,8,Extrovert
341,1,0,0,2,9,Extrovert
342,1,0,0,1,9,Extrovert
343,0,0,0,2,5,Extrovert
344,0,0,0,1,5,Extrovert
345,0,0,0,0,5,Extrovert
347,0,0,0,3,9,Extrovert
348,0,0,0,1,6,Extrovert
349,1,0,0,1,5,Extrovert
350,0,0,0,2,5,Extrovert
351,0,0,0,0,8,Extrovert
352,1,0,0,4,10,Extrovert
353,0,0,0,3,6,Extrovert
354,0,0,0,2,10,Extrovert
355,0,0,0,2,5,Extrovert
356,0,0,0,2,7,Extrovert
357,0,0,0,4,5,Extrovert
358,0,0,0,2,8,Extrovert
359,0,0,0,3,8,Extrovert
360,2,1,1,4,3,Introvert
361,1,0,0,2,6,Extrovert
362,1,0,0,2,4,Extrovert
363,2,1,1,4,3,Introvert
364,1,0,0,0,7,Extrovert
365,0,0,0,2,8,Extrovert
366,1,0,0,1,4,Extrovert
367,0,0,0,2,5,Extrovert
368,3,1,0,4,3,Introvert
371,1,0,0,1,3,Extrovert
372,1,1,1,4,3,Introvert
373,4,1,1,8,1,Introvert
374,1,0,0,2,5,Extrovert
375,4,1,1,11,0,Introvert
376,1,0,0,2,3,Extrovert
377,1,0,0,2,4,Extrovert
378,0,0,0,0,5,Extrovert
379,0,0,0,2,9,Extrovert
381,1,0,0,2,6,Extrovert
382,1,0,0,0,9,Extrovert
383,0,0,0,2,8,Extrovert
384,4,1,1,9,0,Introvert
385,0,0,0,2,5,Extrovert
386,3,1,1,10,3,Introvert
387,0,0,0,1,4,Extrovert
388,4,1,1,8,5,Introvert
389,0,0,0,0,5,Extrovert
390,1,0,0,0,5,Extrovert
391,0,0,0,3,7,Extrovert
392,4,1,1,2,1,Introvert
393,0,0,0,3,5,Extrovert
394,0,0,0,0,7,Extrovert
395,1,0,0,0,6,Extrovert
396,4,1,1,6,5,Introvert
397,1,0,0,3,3,Extrovert
398,4,1,1,4,2,Extrovert
399,0,0,0,1,5,Extrovert
400,1,0,0,2,5,Extrovert
401,0,0,0,1,7,Extrovert
402,3,1,1,7,3,Introvert
404,0,0,0,3,6,Extrovert
405,0,0,0,2,8,Extrovert
406,0,0,0,2,5,Extrovert
407,4,1,0,7,3,Introvert
408,0,0,0,0,8,Extrovert
409,1,0,0,0,9,Extrovert
410,0,0,0,0,7,Extrovert
411,0,0,0,3,5,Extrovert
412,1,0,0,2,9,Extrovert
413,1,0,0,0,8,Extrovert
414,1,0,0,1,4,Extrovert
415,0,0,0,1,4,Extrovert
416,0,0,0,3,5,Extrovert
417,1,0,0,4,7,Extrovert
418,5,1,0,9,2,Introvert
419,0,0,0,0,7,Extrovert
420,1,0,0,1,5,Extrovert
421,0,0,0,3,6,Extrovert
423,0,0,0,3,5,Extrovert
424,0,0,0,0,4,Extrovert
425,1,0,0,1,6,Extrovert
426,4,1,1,7,3,Introvert
427,0,0,0,1,7,Extrovert
428,0,0,0,2,9,Extrovert
429,0,0,0,2,4,Extrovert
430,1,0,0,1,7,Extrovert
431,0,0,0,1,9,Extrovert
433,0,0,0,2,4,Extrovert
434,4,1,1,7,0,Introvert
435,0,0,0,3,6,Extrovert
436,0,0,0,0,6,Extrovert
437,1,0,0,0,4,Extrovert
438,4,1,1,2,1,Introvert
439,1,0,0,3,5,Extrovert
440,0,0,0,2,7,Extrovert
441,0,0,0,4,5,Extrovert
442,4,1,1,11,0,Introvert
443,2,1,1,4,1,Extrovert
444,0,0,0,1,6,Extrovert
445,0,0,0,2,4,Extrovert
446,0,0,0,3,7,Extrovert
447,0,0,0,4,6,Extrovert
448,0,0,0,2,9,Extrovert
449,5,1,0,9,0,Introvert
450,1,0,0,2,3,Extrovert
451,0,0,0,3,6,Extrovert
452,4,1,1,2,2,Introvert
453,1,0,0,0,3,Extrovert
454,1,0,0,3,5,Extrovert
455,0,0,0,1,9,Extrovert
456,1,0,0,0,3,Extrovert
457,4,1,1,4,2,Introvert
458,0,0,0,3,5,Extrovert
459,1,0,0,2,5,Extrovert
460,0,0,0,2,9,Extrovert
461,0,0,0,2,5,Extrovert
462,4,1,1,5,0,Introvert
463,0,0,0,2,8,Extrovert
464,4,1,1,7,1,Introvert
465,0,0,0,4,4,Extrovert
466,0,0,0,2,10,Extrovert
467,1,0,0,3,9,Extrovert
469,1,0,0,3,5,Extrovert
470,4,1,1,11,1,Introvert
472,4,1,1,6,2,Introvert
473,0,0,0,1,6,Extrovert
474,0,0,0,1,9,Extrovert
475,0,0,0,0,4,Extrovert
476,0,0,0,4,9,Extrovert
477,1,0,0,1,7,Extrovert
478,0,0,0,3,7,Extrovert
479,0,0,0,1,5,Extrovert
480,4,1,1,9,4,Introvert
481,0,0,0,3,7,Extrovert
482,1,0,0,1,4,Extrovert
483,1,0,0,2,9,Extrovert
484,1,0,0,0,8,Extrovert
485,0,0,0,1,9,Extrovert
486,0,0,0,1,9,Extrovert
487,4,1,1,7,1,Introvert
488,1,0,0,1,4,Extrovert
489,1,0,0,0,9,Extrovert
491,4,1,1,5,3,Introvert
492,0,0,0,2,6,Extrovert
493,4,1,1,7,3,Introvert
494,0,0,0,2,9,Extrovert
496,5,1,1,5,2,Introvert
497,1,0,0,1,8,Extrovert
498,3,1,1,11,3,Introvert
499,1,0,0,1,6,Extrovert
500,1,0,0,1,6,Extrovert
501,4,1,1,9,0,Introvert
502,0,0,0,0,9,Extrovert
503,5,1,0,11,1,Extrovert
504,1,0,0,3,10,Extrovert
505,0,0,0,2,9,Extrovert
506,1,0,0,3,9,Extrovert
507,4,1,1,5,0,Introvert
508,0,0,0,3,5,Extrovert
509,0,0,0,2,7,Extrovert
510,0,0,0,1,5,Extrovert
511,4,1,1,5,5,Introvert
512,0,0,0,2,9,Extrovert
513,0,0,0,2,4,Extrovert
515,1,0,0,3,4,Extrovert
516,1,0,0,3,7,Extrovert
517,1,0,0,1,5,Extrovert
518,4,1,1,11,1,Extrovert
519,0,0,0,2,7,Extrovert
520,3,1,1,6,0,Introvert
521,0,0,0,0,4,Extrovert
522,0,0,0,1,5,Extrovert
523,1,0,0,1,4,Extrovert
524,0,0,0,2,9,Extrovert
525,0,0,0,3,3,Extrovert
526,0,0,0,3,8,Extrovert
527,0,0,0,0,5,Extrovert
528,3,1,1,4,2,Introvert
529,4,1,1,2,0,Introvert
530,1,0,0,3,10,Extrovert
531,1,0,0,3,9,Extrovert
532,0,0,0,1,5,Extrovert
533,1,0,0,2,9,Extrovert
534,0,0,0,4,9,Extrovert
535,0,0,0,1,5,Extrovert
536,4,1,1,11,0,Introvert
537,1,0,0,0,6,Extrovert
538,1,0,0,3,8,Extrovert
539,0,0,0,2,5,Extrovert
541,5,1,0,7,2,Introvert
542,0,0,0,1,6,Extrovert
543,0,0,0,0,7,Extrovert
545,5,1,0,6,2,Introvert
546,2,1,1,4,3,Introvert
547,0,0,0,2,10,Introvert
550,0,0,0,1,5,Extrovert
551,4,1,1,4,0,Introvert
552,1,0,0,2,5,Extrovert
553,1,0,0,3,5,Extrovert
554,1,0,0,4,4,Extrovert
555,0,0,0,2,8,Extrovert
556,5,1,1,6,2,Introvert
558,4,1,1,3,2,Extrovert
559,3,1,1,2,2,Extrovert
560,5,0,1,10,2,Introvert
561,0,0,0,1,9,Introvert
562,1,0,0,1,7,Extrovert
563,0,0,0,2,6,Extrovert
564,4,1,1,10,2,Introvert
565,5,1,0,7,1,Introvert
566,0,0,0,2,7,Extrovert
567,0,0,0,3,9,Extrovert
568,0,0,0,0,8,Extrovert
569,0,0,0,1,5,Extrovert
570,1,0,0,3,5,Extrovert
571,0,0,0,0,5,Extrovert
572,0,0,0,2,5,Extrovert
573,0,0,0,0,8,Extrovert
574,1,0,0,2,4,Extrovert
575,0,0,0,1,5,Extrovert
576,3,1,1,7,3,Introvert
578,1,0,0,2,9,Extrovert
579,5,1,0,7,0,Introvert
580,0,0,0,0,8,Extrovert
581,0,0,0,0,4,Extrovert
582,4,1,0,6,3,Introvert
583,4,0,1,10,3,Introvert
584,0,0,0,1,8,Extrovert
585,0,0,0,2,9,Extrovert
586,5,1,1,9,0,Introvert
587,1,0,0,3,4,Extrovert
588,0,0,0,1,5,Extrovert
589,1,0,0,2,6,Extrovert
590,1,0,0,2,7,Extrovert
592,1,0,0,3,8,Extrovert
593,0,0,0,0,10,Extrovert
594,1,0,0,2,3,Extrovert
595,0,0,0,3,5,Extrovert
596,1,0,0,2,7,Extrovert
597,4,1,1,7,5,Introvert
598,0,0,0,1,4,Extrovert
599,0,0,0,2,4,Extrovert
600,0,0,0,4,8,Extrovert
601,0,0,0,3,4,Extrovert
602,0,0,0,2,8,Extrovert
603,0,0,0,3,4,Extrovert
604,0,0,0,0,6,Extrovert
605,0,0,0,2,6,Extrovert
606,0,0,0,3,8,Extrovert
607,4,1,1,6,0,Introvert
608,0,0,0,1,5,Extrovert
609,0,0,0,3,9,Extrovert
610,1,0,0,1,5,Extrovert
611,1,0,0,4,9,Extrovert
612,0,0,0,2,5,Extrovert
613,0,0,0,2,6,Extrovert
615,0,0,0,2,7,Extrovert
616,2,0,0,2,3,Extrovert
617,1,0,0,3,6,Extrovert
619,0,0,0,2,4,Extrovert
620,1,0,0,1,6,Extrovert
621,4,0,1,9,3,Introvert
622,0,0,0,0,8,Extrovert
623,0,0,0,0,5,Extrovert
624,0,0,0,0,9,Extrovert
625,0,0,0,3,3,Extrovert
626,4,1,1,5,0,Introvert
627,1,0,0,2,3,Extrovert
630,0,0,0,2,8,Extrovert
631,1,0,0,3,8,Extrovert
632,4,1,1,5,1,Introvert
633,0,0,0,2,9,Extrovert
634,0,0,0,3,7,Extrovert
635,4,1,1,10,5,Introvert
636,0,0,0,3,5,Extrovert
637,0,0,0,2,6,Extrovert
638,4,1,0,4,1,Introvert
639,0,0,0,3,7,Extrovert
640,0,0,0,3,7,Extrovert
641,0,0,0,0,6,Extrovert
642,0,0,0,3,4,Extrovert
643,0,0,0,2,8,Extrovert
644,0,0,0,3,8,Extrovert
645,0,0,0,0,9,Extrovert
646,0,0,0,0,8,Extrovert
647,0,0,0,1,7,Extrovert
648,0,0,0,4,9,Extrovert
649,0,0,0,4,4,Extrovert
650,4,1,1,9,5,Introvert
651,3,1,1,11,2,Extrovert
652,0,0,0,2,5,Extrovert
653,1,0,0,3,5,Extrovert
654,1,0,0,2,5,Extrovert
655,4,1,1,9,5,Extrovert
656,0,0,0,2,5,Extrovert
657,4,1,1,10,3,Introvert
658,1,0,0,2,4,Extrovert
659,0,0,0,1,5,Extrovert
660,3,1,1,4,1,Introvert
661,4,1,1,5,0,Introvert
662,0,0,0,1,7,Extrovert
663,1,0,0,2,6,Extrovert
664,0,0,0,0,5,Extrovert
665,3,1,1,5,3,Introvert
666,0,0,0,0,6,Extrovert
667,1,0,0,2,8,Extrovert
668,0,0,0,3,6,Extrovert
669,0,0,0,2,4,Extrovert
670,0,0,0,1,6,Extrovert
671,0,0,0,1,6,Extrovert
672,0,0,0,1,6,Extrovert
673,0,0,0,1,4,Extrovert
674,0,0,0,0,6,Extrovert
675,0,0,0,2,6,Extrovert
676,1,0,0,4,4,Extrovert
678,0,0,0,2,5,Extrovert
679,4,1,1,5,0,Introvert
680,0,0,0,2,10,Extrovert
681,5,0,1,8,0,Introvert
682,1,0,0,1,7,Extrovert
683,4,1,1,6,5,Introvert
684,0,0,0,0,9,Extrovert
685,0,0,0,2,4,Extrovert
686,0,0,0,3,4,Extrovert
687,0,0,0,2,5,Extrovert
688,4,1,1,7,3,Introvert
689,0,0,0,1,5,Extrovert
691,4,1,1,10,2,Introvert
692,0,0,0,2,6,Extrovert
693,0,0,0,0,9,Extrovert
694,0,0,0,2,10,Extrovert
695,1,0,0,1,7,Extrovert
696,1,0,0,2,3,Extrovert
697,0,0,0,0,9,Extrovert
698,1,0,0,2,3,Extrovert
699,4,1,0,6,2,Introvert
701,0,0,0,0,10,Extrovert
702,4,1,1,9,0,Introvert
703,3,1,1,4,0,Introvert
705,4,1,1,6,0,Introvert
706,0,0,0,3,6,Extrovert
707,5,1,1,6,0,Extrovert
708,0,0,0,2,8,Extrovert
709,0,0,0,3,7,Extrovert
710,1,0,0,2,6,Extrovert
711,0,0,0,3,7,Extrovert
712,0,0,0,0,8,Extrovert
713,4,1,1,7,2,Introvert
714,4,1,1,5,4,Extrovert
715,4,1,1,2,1,Introvert
716,0,0,0,1,5,Extrovert
717,5,1,1,5,1,Introvert
718,5,1,1,6,0,Introvert
719,0,0,0,0,7,Extrovert
720,0,0,0,3,6,Extrovert
721,0,0,0,3,4,Extrovert
722,4,1,1,10,5,Introvert
723,0,0,0,3,5,Extrovert
724,1,0,0,0,6,Extrovert
725,0,0,0,3,7,Extrovert
726,0,0,0,3,5,Extrovert
727,4,1,1,6,3,Extrovert
728,0,0,0,3,9,Extrovert
729,0,0,0,2,9,Extrovert
730,5,0,1,9,0,Introvert
731,0,0,0,2,9,Extrovert
732,0,0,0,1,5,Extrovert
733,4,1,1,7,2,Introvert
734,0,0,0,2,8,Extrovert
735,0,0,0,2,7,Extrovert
736,0,0,0,0,7,Extrovert
737,4,1,1,7,0,Extrovert
738,1,0,0,5,5,Introvert
739,0,0,0,4,9,Extrovert
740,0,0,0,0,5,Extrovert
741,1,0,0,2,10,Extrovert
742,1,0,0,2,6,Extrovert
743,0,0,0,2,8,Extrovert
745,1,0,0,0,7,Extrovert
746,4,1,1,8,1,Introvert
747,3,1,1,4,1,Introvert
748,0,0,0,2,8,Extrovert
749,4,1,1,5,4,Introvert
750,1,0,0,1,7,Extrovert
751,0,0,0,0,7,Extrovert
752,0,0,0,1,5,Extrovert
753,1,0,0,4,8,Extrovert
754,0,0,0,3,4,Extrovert
755,0,0,0,3,7,Extrovert
756,1,0,0,0,7,Extrovert
757,0,0,0,0,5,Extrovert
758,0,0,0,2,5,Extrovert
759,0,0,0,1,9,Extrovert
760,0,0,0,2,5,Extrovert
761,0,0,0,2,7,Extrovert
762,4,1,1,10,2,Introvert
763,0,0,0,0,5,Extrovert
764,0,0,0,1,8,Extrovert
766,1,0,0,0,4,Extrovert
767,1,0,0,1,7,Extrovert
768,0,0,0,1,9,Extrovert
769,0,0,0,1,4,Extrovert
770,0,0,0,3,7,Extrovert
771,0,0,0,4,6,Extrovert
772,1,0,0,3,4,Extrovert
773,1,0,0,1,6,Extrovert
774,0,0,0,2,8,Extrovert
775,4,1,1,9,5,Introvert
776,0,0,0,0,5,Extrovert
777,1,0,0,3,4,Extrovert
778,1,0,0,0,5,Extrovert
779,0,0,0,2,9,Extrovert
780,0,0,0,0,8,Extrovert
781,5,1,0,8,0,Introvert
782,0,0,0,0,8,Extrovert
783,0,0,0,3,8,Extrovert
784,4,1,1,10,3,Introvert
785,0,0,0,2,9,Extrovert
786,0,0,0,2,8,Extrovert
787,5,1,0,9,1,Introvert
788,0,0,0,3,4,Extrovert
789,0,0,0,2,6,Extrovert
790,0,0,0,0,9,Extrovert
791,1,0,0,2,7,Extrovert
792,0,0,0,0,5,Extrovert
793,5,1,1,5,1,Introvert
794,3,1,1,6,3,Introvert
795,0,0,0,4,10,Extrovert
796,5,0,1,7,2,Introvert
797,0,0,0,2,4,Extrovert
798,0,0,0,1,5,Extrovert
799,0,0,0,3,6,Extrovert
800,5,0,1,10,0,Introvert
801,0,0,0,0,7,Extrovert
802,3,1,1,5,3,Introvert
803,0,0,0,2,3,Extrovert
804,0,0,0,2,6,Extrovert
805,0,0,0,3,7,Extrovert
806,1,0,0,3,4,Extrovert
807,0,0,0,3,6,Extrovert
808,0,0,0,2,4,Extrovert
809,4,1,1,11,2,Introvert
810,1,0,0,2,9,Extrovert
811,0,0,0,1,7,Extrovert
812,4,1,1,7,2,Introvert
813,3,1,1,6,3,Introvert
814,0,0,0,2,9,Extrovert
815,1,0,0,3,9,Extrovert
817,0,0,0,3,5,Extrovert
818,4,1,1,8,2,Introvert
819,4,1,1,5,1,Introvert
820,0,0,0,1,6,Extrovert
821,2,1,1,4,3,Introvert
822,0,0,0,3,4,Extrovert
823,4,1,0,10,3,Introvert
824,2,0,0,6,7,Extrovert
825,1,0,0,1,9,Extrovert
826,3,1,1,8,0,Introvert
827,5,1,0,5,2,Introvert
828,0,0,0,3,9,Extrovert
829,0,0,0,0,4,Extrovert
830,3,1,1,7,1,Introvert
